"x","y"
9.35,0.0015974440894569
9.37,0
9.39,0.00159744408945676
9.41,0
9.43,0
9.45,0
9.47,0
9.49,0
9.51,0.0015974440894569
9.53,0.0015974440894569
9.55,0
9.57,0
9.59,0
9.61,0
9.63,0
9.65,0
9.67,0
9.69,0
9.71,0.00159744408945676
9.73,0
9.75,0.0015974440894569
9.77,0
9.79,0
9.81,0.00159744408945676
9.83,0
9.85,0.0015974440894569
9.87,0.0015974440894569
9.89,0
9.91,0.0015974440894569
9.93,0.0015974440894569
9.95,0
9.97,0
9.99,0.0015974440894569
10.01,0
10.03,0
10.05,0
10.07,0
10.09,0
10.11,0.0015974440894569
10.13,0
10.15,0.0015974440894569
10.17,0
10.19,0
10.21,0
10.23,0
10.25,0
10.27,0
10.29,0.0015974440894569
10.31,0
10.33,0
10.35,0
10.37,0.0015974440894569
10.39,0
10.41,0
10.43,0
10.45,0
10.47,0
10.49,0
10.51,0
10.53,0
10.55,0
10.57,0
10.59,0
10.61,0
10.63,0
10.65,0
10.67,0
10.69,0
10.71,0
10.73,0
10.75,0
10.77,0
10.79,0
10.81,0
10.83,0
10.85,0
10.87,0
10.89,0
10.91,0
10.93,0
10.95,0
10.97,0
10.99,0.0015974440894569
11.01,0
11.03,0
11.05,0
11.07,0
11.09,0
11.11,0
11.13,0
11.15,0
11.17,0
11.19,0
11.21,0
11.23,0.00159744408945676
11.25,0.0015974440894569
11.27,0
11.29,0
11.31,0
11.33,0
11.35,0
11.37,0
11.39,0
11.41,0
11.43,0
11.45,0
11.47,0
11.49,0
11.51,0.0015974440894569
11.53,0
11.55,0
11.57,0
11.59,0
11.61,0
11.63,0
11.65,0
11.67,0.0015974440894569
11.69,0
11.71,0.00319488817891381
11.73,0
11.75,0
11.77,0.0015974440894569
11.79,0
11.81,0
11.83,0
11.85,0
11.87,0
11.89,0
11.91,0
11.93,0
11.95,0.0015974440894569
11.97,0
11.99,0.0015974440894569
12.01,0
12.03,0.0015974440894569
12.05,0
12.07,0
12.09,0.0015974440894569
12.11,0
12.13,0
12.15,0
12.17,0
12.19,0
12.21,0.0015974440894569
12.23,0.0015974440894569
12.25,0
12.27,0
12.29,0.0015974440894569
12.31,0
12.33,0.0015974440894569
12.35,0
12.37,0.0015974440894569
12.39,0.0015974440894569
12.41,0
12.43,0
12.45,0.0015974440894569
12.47,0.00159744408945676
12.49,0.00319488817891381
12.51,0.0015974440894569
12.53,0
12.55,0
12.57,0.0015974440894569
12.59,0.00319488817891352
12.61,0.0015974440894569
12.63,0.00638977635782761
12.65,0
12.67,0.00798722044728451
12.69,0.00638977635782761
12.71,0.0015974440894569
12.73,0.00479233226837071
12.75,0.00479233226837028
12.77,0.00958466453674142
12.79,0.0111821086261983
12.81,0.00638977635782704
12.83,0.0015974440894569
12.85,0.0111821086261983
12.87,0.0127795527156552
12.89,0.0111821086261983
12.91,0.0239616613418514
12.93,0.0111821086261983
12.95,0.0175718849840259
12.97,0.0367412140575088
12.99,0.0303514376996785
13.01,0.0383386581469657
13.03,0.0431309904153364
13.05,0.081469648562302
13.07,0.0798722044728452
13.09,0.110223642172517
13.11,0.145367412140578
13.13,0.196485623003199
13.15,0.185303514376984
13.17,0.261980830670932
13.19,0.324281150159751
13.21,0.33546325878595
13.23,0.424920127795536
13.25,0.539936102236385
13.27,0.710862619808322
13.29,0.83067092651759
13.31,1.11022364217245
13.33,1.19488817891376
13.35,1.49520766773166
